Day,Time,Court,Reserved By
Sunday,12:30,Court-3,OPEN
Sunday,13:00,Court-3,OPEN
Sunday,13:30,Court-3,OPEN
Sunday,14:00,Court-3,OPEN
Sunday,14:30,Court-3,OPEN
Sunday,15:00,Court-3,OPEN
Sunday,15:30,Court-3,OPEN
Sunday,16:00,Court-3,OPEN
Sunday,16:30,Court-3,OPEN
Sunday,17:00,Court-3,OPEN
Sunday,17:30,Court-3,OPEN
Sunday,18:00,Court-3,OPEN
Sunday,18:30,Court-3,OPEN
Sunday,19:00,Court-3,OPEN
Sunday,19:30,Court-3,OPEN
Sunday,20:00,Court-3,OPEN
Sunday,20:30,Court-3,OPEN
Sunday,21:00,Court-3,OPEN
Sunday,21:30,Court-3,OPEN
Sunday,22:00,Court-3,OPEN
Sunday,22:30,Court-3,OPEN
Sunday,23:00,Court-3,OPEN
Sunday,23:30,Court-3,OPEN
